tmdb_id,title,release_year,overview,genres,keywords,is_period_piece,signals_used,setting_start_year,setting_end_year,setting_decade,year_gap,vote_count,revenue_usd,in_top_k_by_revenue,country
280,Terminator 2: Judgment Day,1991,"Ten years after the events of the original, a reprogrammed T-800 is sent back in time to protect young John Connor from the shape-shifting T-1000. Together with his mother Sarah, he fights to stop Skynet from triggering a nuclear apocalypse.","['Action', 'Thriller', 'Science Fiction']","['man vs machine', 'cyborg', 'shotgun', 'dystopia', 'moral ambiguity', 'post-apocalyptic future', 'villain', 'time travel', 'mental institution', 'juvenile delinquent', 'fictional war', 'urban setting', 'troubled teen', 'morphing', 'nuclear weapons', 'shape shifter', 'savior', 'catch phrase', 'aggressive', 'action hero', 'complex', 'good versus evil', 'sinister', 'depressing', 'commanding', 'compassionate', 'exhilarated']",False,['fantasy_penalty'],,,,,13664,520000000,True,['US']
40223,L'Opération Corned Beef,1991,The unsanctioned efforts of a covert unit to gather evidence about illegal arms shipments with the unwitting help of an embassy employee.,"['Comedy', 'Action']",['spy'],False,[],,,,,251,0,True,['FR']
290,Barton Fink,1991,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,"['Comedy', 'Drama', 'Thriller']","['hotel', 'screenplay', 'mass murder', 'movie business', 'screenwriter', 'neighbor', 'los angeles, california', 'neo-noir', '1940s']",False,[],,,,,1783,6153939,True,['US']
10020,Beauty and the Beast,1991,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.","['Romance', 'Family', 'Animation', 'Fantasy']","['princess', 'france', 'prince', 'castle', 'villain', 'rose', 'melancholy', 'musical', 'insane asylum', 'beast', 'based on fairy tale', 'eccentric man', 'wonder', 'dedication', 'toxic masculinity', 'tense', 'romantic', 'earnest', 'enchant', 'hopeful', 'sincere']",False,['fantasy_penalty'],,,,,10366,424967620,True,['US']
10537,The Doors,1991,"The story of the famous and influential 1960s rock band and its lead singer and composer, Jim Morrison.","['Music', 'Drama', 'History']","[""rock 'n' roll"", 'airplane', 'hippie', 'joint', 'poetry', 'lsd', 'hallucination', 'wilderness', 'addicted', 'organ', 'biography', 'alcoholism', 'singer', 'drugs']",True,"['genre_period', 'decade_phrase']",1960.0,1969.0,1960s,31.0,1527,34416893,True,['US']
820,JFK,1991,Follows the investigation into the assassination of President John F. Kennedy led by New Orleans district attorney Jim Garrison.,"['Drama', 'Thriller', 'History']","['vietnam war', 'central intelligence agency (cia)', 'assassination', 'usa president', 'government', 'politics', 'homophobia', 'texas', 'new orleans, louisiana', 'investigation', 'john f. kennedy', 'historical figure', 'president', 'conspiracy', 'district attorney', 'death', 'john f. kennedy assassination', 'taunting', 'assassination of president', 'speculative', 'usa history', 'shocking', '1960s', 'somber', 'courtroom drama', 'suspicious', 'legal thriller', 'jacqueline kennedy', 'america', 'ambiguous', 'antagonistic', 'defiant']",True,['genre_period'],,,,,2287,205405498,True,['US']
13122,The People Under the Stairs,1991,"Trapped inside a fortified home owned by a mysterious couple, a young boy quickly learns the true nature of the homicidal inhabitants, and secret creatures hidden deep within the walls.","['Horror', 'Comedy', 'Mystery', 'Thriller']","['child abuse', 'escape', 'shotgun', 'serial killer', 'landlord', 'wrongful imprisonment', 'cannibal', 'incest', 'blunt', 'mental illness', 'break in', 'psychotic', 'guard dog', 'bad landlord', 'disfigurement', 'tarot', 'greedy developer', 'neighborhood', 'landlord tenant relationship', 'shocking', 'poor kid', 'murderous pair', 'trapped in a house', 'class warfare', 'in the walls', 'mother daughter relationship', 'brother sister relationship', 'sexual fetish', 'absurd', 'antagonistic', 'ridiculous']",False,[],,,,,711,31400000,True,['US']
36679,Godzilla vs. King Ghidorah,1991,"The Futurians, time-travelers from the 23rd century, arrive in Japan to warn them of the nation's destruction under Godzilla. They offer to help erase Godzilla from history by preventing his creation. With Godzilla seemingly gone, a new monster emerges as the Futurians' true intentions are revealed.","['Action', 'Adventure', 'Science Fiction']","['future', 'android', 'world war ii', 'time travel', 'ufo', 'kaiju', 'king ghidorah', 'nuclear submarine', 'godzilla', 'tokusatsu']",False,"['keyword_period', 'fantasy_penalty']",,,,,244,11000000,True,['JP']
9546,Ricochet,1991,An attorney is terrorized by the criminal he put away years ago when he was a cop.,"['Crime', 'Thriller', 'Action', 'Drama']","['career', 'psychopath', 'falsely accused', 'cop', 'prison escape', 'los angeles, california', 'killer', 'family', 'psychotic', 'intense']",False,[],,,,,344,21760000,True,['US']
8010,Highlander II: The Quickening,1991,"In the year 2024, the ozone layer is believed to have been destroyed, and it's up to MacLeod and Ramirez to set things right. Opposition comes from both the planet Zeist (MacLeod and Ramirez's homeworld) and a corporation profiting from the supposed lack of ozone. Also, flashbacks show the story behind MacLeod and Ramirez's exile from Zeist.","['Fantasy', 'Action', 'Adventure', 'Science Fiction']","['new york city', 'martial arts', 'immortality', 'scotland', 'sword fight', 'fictional war', 'dark fantasy', 'warrior', 'action hero', 'sword and sorcery', 'supernatural power', 'good versus evil']",False,['fantasy_penalty'],,,,,910,15556340,True,['US' 'GB']
339,Night on Earth,1991,A quintet of cabbies in five cities and their remarkable fares on the same eventful night.,"['Comedy', 'Drama']","['helsinki, finland', 'new york city', 'taxi', 'metropolis', 'paris, france', 'rome, italy', 'heart attack', 'megacity', 'taxi driver', 'german democratic republic', 'pastor', 'passenger', 'night life', 'casual meeting', 'casting agent', 'road trip', 'conflict', 'los angeles, california', 'episodic', 'finland', 'understanding']",False,[],,,,,981,2015810,True,['US']
12627,La Belle Noiseuse,1991,"The former famous painter Frenhofer lives quietly with his wife on a countryside residence in the French Provence. When the young artist Nicolas visits him with his girlfriend Marianne, Frenhofer decides to start again the work on a painting he long ago stopped: La Belle Noiseuse. And he wants Marianne as model.",['Drama'],"['countryside', 'provence', 'eroticism', 'painting', 'artwork', 'country estate', 'painter', 'drawing and painting', 'man woman relationship', 'taxidermist']",False,[],,,,,273,0,True,['FR' 'CH']
