tmdb_id,title,release_year,is_period_piece,setting_type,setting_confidence,overview,sources_used
10882,Sleeping Beauty,1959,False,unknown,0.3,"Cursed to die by the evil fairy Maleficent when she was a baby, Princess Aurora is sent into hiding under protection from three good fairies. As she grows up far away, Maleficent becomes increasingly determined to seal the princess's fate.",[]
24197,Mr. & Mrs. Smith,1941,False,unknown,0.3,"Happily married for three years, Ann and David Smith live in New York. One morning Ann asks David if he had to do it over again, would he marry her? To her shock, he answers, ""No"". Later that day, they separately discover that, due to a legal complication, they are not legally married.",[]
379014,Pink Punch,1966,False,unknown,0.3,"The Pink Panther is a chemist who has perfected a pink health drink. When the Pink Panther tries to promote his drink with a series of signs, each of them in pink writing, the starry dot atop the ""i"" in ""pink"" has a mind of its own and, to frustrate the Pink Panther, turns green and repeatedly squirts ugly, green fluid on the panther's fur. The Pink Panther is able to restore his fur's pink color by drinking some of his health drink. But the green dot persistently interferes with the panther's efforts to promote his pink drink. Infuriated, the panther tries to eradicate the green dot, only to find that the dot has a guardian - another green dot of a much larger size.",[]
225409,Liberation: Direction of the Main Blow,1970,True,unknown,0.3,This five part epic war drama gives a dramatized detailed account of Soviet Union's war against Nazi Germany during world war two. Each of the five parts represents a separate major eastern front campaign.. Liberation Collection. Liberation Collection,[]
157319,Blood of the Condor,1969,False,unknown,0.3,A community reacts against a group of foreigners who under the guise of development assistance are forcibly sterilizing the peasant women.,[]
138,Dracula,1931,False,unknown,0.3,"British estate agent Renfield travels to Transylvania to meet the mysterious Count Dracula, who is interested in leasing a castle in London. After Dracula enslaves Renfield and drives him to insanity, the pair sail to London together and Dracula, a secret vampire, begins preying on London socialites.",[]
651,M*A*S*H,1970,True,unknown,0.3,The staff of a Korean War field hospital use humor and hijinks to keep their sanity in the face of the horror of war.. M*A*S*H Gives A D*A*M*N.. M*A*S*H Gives A D*A*M*N.,[]
11916,Two Mules for Sister Sara,1970,True,unknown,0.3,"When a wandering mercenary named Hogan rescues a nun called Sister Sara from the unwanted attentions of a band of rogues on the Mexican plains, he has no idea what he has let himself in for. Their chance encounter results in the blowing up of a train and a French garrison, as well as igniting a spark between them that survives a shocking discovery.. CLINT EASTWOOD...the deadliest man alive...takes on a whole army with two guns and a fistful of dynamite!. CLINT EASTWOOD...the deadliest man alive...takes on a whole army with two guns and a fistful of dynamite!",[]
653,Nosferatu,1922,False,unknown,0.3,"The mysterious Count Orlok summons a happily married real estate agent to his castle, located up in the Transylvanian mountains, to finalise a terrifying deal.",[]
20108,Au Hasard Balthazar,1966,False,unknown,0.3,"The story of a donkey Balthazar as he is passed from owner to owner, some kind and some cruel but all with motivations beyond his understanding. Balthazar, whose life parallels that of his first keeper, Marie, is truly a beast of burden, suffering the sins of humankind. But despite his powerlessness, he accepts his fate nobly.",[]
1680,King Kong vs. Godzilla,1962,False,unknown,0.3,"The advertising director of Pacific Pharmaceuticals, frustrated with the low ratings of their sponsored TV program, seeks a more sensationalist approach. He orders his staff to Faro Island to capture King Kong for exploitation. As Godzilla re-emerges, a media frenzy generates with Pacific looking to capitalize off of the ultimate battle.",[]
149136,Landscape After Battle,1970,False,unknown,0.3,"Film opens with the mad rush of haphazard freedom as the concentration camps are liberated. Men are trying to grab food, change clothes, bury their tormentors they find alive. Then they are herded into other camps as the Allies try to devise policy to control the situation. A young poet who cannot quite find himself in this new situation, meets a headstrong Jewish young girl who wants him to run off with her, to the West. He cannot cope with her growing demands for affection, while still harboring the hatred for the Germans and disdain for his fellow men who quickly revert to petty enmities.",[]
